Mix_fact,Accuracy,TPR,TNR,PPV,NMI preds and y,NMI preds and s,prob_pos_sex_Male_0.0,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0,PPV_sex_Male_0.0,PPV_sex_Male_1.0,PPV_sex_Male_0.0-sex_Male_1.0,PPV_sex_Male_0.0/sex_Male_1.0,NMI preds and y_sex_Male_0.0,NMI preds and y_sex_Male_1.0,NMI preds and y_sex_Male_0.0-sex_Male_1.0,NMI preds and y_sex_Male_0.0/sex_Male_1.0,NMI preds and s_sex_Male_0.0,NMI preds and s_sex_Male_1.0,NMI preds and s_sex_Male_0.0-sex_Male_1.0,NMI preds and s_sex_Male_0.0/sex_Male_1.0
0,0.7482231,0.702547968,0.790128715,0.754375277,0.185616724,0.042168117,0.344584554,0.585843107,0.241258553,0.588185727,0.602357222,0.890305366,0.287948144,0.676573729,0.954083035,0.615106154,0.338976881,0.644709246,0.938270084,0.604225352,0.334044732,0.643978064,0.295429179,0.206419729,0.08900945,0.698711379,0,3.25,3.25,0
0.1,0.818139191,0.739374871,0.89040318,0.860909255,0.324848387,0.00100091,0.395533478,0.432309778,0.0367763,0.914930677,0.699810157,0.813519122,0.113708966,0.860225823,0.957015856,0.819293611,0.137722244,0.856091993,0.949656505,0.748193592,0.201462913,0.787857071,0.383485981,0.30689864,0.076587341,0.800286465,0,3.25,3.25,0
0.2,0.830972359,0.811790798,0.848570888,0.831036486,0.343945499,0.00022813,0.474886426,0.457004774,0.017881652,0.962345413,0.80169277,0.830714497,0.029021727,0.965064138,0.903766841,0.789648762,0.114118078,0.87373062,0.906124274,0.722723755,0.183400518,0.797598935,0.401981992,0.291985316,0.109996676,0.726364171,-4.25,-4.5,0.25,1.058823529
0.3,0.843632774,0.826387456,0.859454855,0.843618366,0.373894339,0.001542722,0.488175604,0.44168091,0.046494694,0.90475826,0.824632178,0.829676846,0.005044667,0.993919721,0.901658876,0.814401722,0.087257154,0.90322598,0.906679423,0.746864158,0.159815265,0.823735644,0.426163289,0.31782529,0.108337999,0.745782892,8,0,8,0
0.4,0.841140178,0.849391376,0.833569941,0.824018014,0.368901044,0.002543511,0.518277926,0.458419284,0.059858642,0.884504744,0.854769815,0.839312185,0.01545763,0.981916032,0.87159747,0.792975247,0.078622223,0.90979526,0.885229786,0.72795063,0.157279156,0.822329571,0.42301385,0.304352829,0.11866102,0.719486677,0,0,0,nan
0.5,0.839141165,0.848566123,0.830494037,0.821203953,0.364246183,0.005163425,0.530123551,0.444863559,0.085259992,0.839169582,0.860781522,0.825674474,0.035107048,0.959214914,0.852992393,0.806476861,0.046515532,0.945467824,0.87153612,0.737943826,0.133592294,0.846716285,0.407202033,0.304841877,0.102360155,0.748625628,0,3.5,3.5,0
0.6,0.83958539,0.833556839,0.845116411,0.831583822,0.364140349,0.008671325,0.525792893,0.415512465,0.110280427,0.79025881,0.854295206,0.794693151,0.059602055,0.930232483,0.854825406,0.834751981,0.020073424,0.976517515,0.872093023,0.760425532,0.111667491,0.87195461,0.400887543,0.306355257,0.094532286,0.764192509,0.5,7.75,7.25,0.064516129
0.7,0.840942744,0.814214978,0.865464698,0.84738848,0.367912215,0.013900576,0.517938267,0.378970944,0.138967323,0.731691338,0.848125297,0.750667062,0.097458235,0.885089815,0.864632023,0.866353586,0.001721563,0.998012863,0.878924502,0.78755832,0.091366182,0.896047748,0.40524207,0.304541991,0.100700079,0.751506356,4,0,4,0
0.8,0.830997038,0.838456777,0.824152943,0.813939515,0.344953651,0.020799166,0.564386702,0.39364649,0.170740212,0.69747655,0.880082265,0.760450637,0.119631628,0.864067676,0.80139309,0.848449271,0.047056182,0.944538603,0.83698187,0.768079054,0.068902816,0.91767705,0.373832488,0.290819757,0.083012731,0.777941368,0,0,0,nan
0.9,0.784205331,0.863833299,0.711148968,0.7328899,0.262916665,0.049950144,0.673544771,0.411858313,0.261686458,0.611478748,0.924458155,0.750222354,0.174235801,0.811526568,0.617175328,0.811466588,0.194291261,0.760567763,0.736699445,0.724241557,0.012457888,0.983089592,0.272062491,0.240712053,0.031350438,0.884767512,-2.75,-4.75,2,1.727272727
1,0.730404738,0.794512069,0.671588113,0.689402077,0.166183994,0.147907139,0.738589564,0.291624919,0.446964645,0.394840292,0.922717924,0.554254373,0.368463551,0.600675849,0.474750252,0.881714118,0.406963866,0.538440116,0.67055645,0.755658852,0.085102402,0.887379865,0.171439857,0.174882846,0.003442989,0.980312597,5.875,0,5.875,0