Mix_fact,Accuracy,TPR,TNR,PPV,NMI preds and y,NMI preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0,PPV_sex_Male_1.0,PPV_sex_Male_0.0,PPV_sex_Male_0.0-sex_Male_1.0,PPV_sex_Male_0.0/sex_Male_1.0,NMI preds and y_sex_Male_1.0,NMI preds and y_sex_Male_0.0,NMI preds and y_sex_Male_0.0-sex_Male_1.0,NMI preds and y_sex_Male_0.0/sex_Male_1.0,NMI preds and s_sex_Male_1.0,NMI preds and s_sex_Male_0.0,NMI preds and s_sex_Male_0.0-sex_Male_1.0,NMI preds and s_sex_Male_0.0/sex_Male_1.0
0.0,0.8215156215377798,0.6132075471698113,0.974088291746641,0.9454545454545454,0.3729079654430041,0.3729079654430041,0.6132075471698113,0.025911708253358926,0.5872958389164523,0.04225601653624687,0.6132075471698113,nan,nan,nan,nan,0.974088291746641,nan,1.0,1.0,0.0,1.0,0.0,-5.0,-7.671875,2.671875,1.534375,-5.0,-7.671875,2.671875,1.534375
0.0,0.824396188787946,0.6197589098532494,0.9742802303262956,0.9463785514205683,0.37885787542880395,0.37885787542880395,0.6197589098532494,0.025719769673704415,0.5940391401795451,0.04149963681812095,0.6197589098532494,nan,nan,nan,nan,0.9742802303262956,nan,1.0,1.0,0.0,1.0,0.0,-4.0,-7.859375,3.859375,1.96484375,-4.0,-7.859375,3.859375,1.96484375
0.1,0.8269213027032014,0.6037974683544304,0.9548555668456961,0.8846439169139466,0.32860901522462105,0.21321119860705118,0.45423111919927206,0.0374251497005988,0.41680596949867327,0.08239230673268846,0.6071802935010482,0.5074626865671642,0.09971760693388398,0.8357693620804051,0.8933889219773675,0.9746641074856046,0.08127518550823709,0.9166121078184492,0.9282852564102564,0.34,0.5882852564102563,0.3662667242123436,0.1842490082805738,0.19828167409737957,0.014032665816805762,0.9292286295206784,9.75,-7.8125,17.5625,-0.8012820512820513
0.2,0.8100545411429927,0.5317168748469263,0.9426937441643324,0.8155522163786627,0.2510365648469948,0.118168715550939,0.3346807917479788,0.04765382508672631,0.2870269666612525,0.1423858980308932,0.5366876310272537,0.4606741573033708,0.0760134737238829,0.8583655196629213,0.8948779035139964,0.9735124760076775,0.07863457249368111,0.9192259221821611,0.8529779258642233,0.47126436781609193,0.38171355804813134,0.5524930405890804,0.16996654090658464,0.21513841071646914,0.045171869809884496,0.7900334502823092,1.25,7.875,6.625,0.15873015873015872
0.3,0.6010785398230089,0.9452217216030353,0.45945154679418365,0.4184776902887139,0.14677989434554378,0.18857674619735407,0.8449113294928273,0.36446266262698274,0.4804486668658446,0.43136202570009063,0.9821802935010482,0.5935162094763092,0.38866408402473895,0.604284379765634,0.2590827873734366,0.6531669865642994,0.3940841991908628,0.39665628040423295,0.5010695187165776,0.11638141809290954,0.38468810062366804,0.23226601049492085,0.12408763622592225,0.020267638475266688,0.10381999775065556,0.16333326261744618,-0.5,3.5,4.0,-0.14285714285714285
0.4,0.7423814204964365,0.09885057471264368,0.9771088378333054,0.6116642958748222,0.03678128501418732,0.006657667459660309,0.05288644132168629,0.02541782729805014,0.027468614023636147,0.48061141311142563,0.10377358490566038,0.06367041198501873,0.04010317292064165,0.613551242764726,0.976027397260274,0.9785028790786948,0.0024754818184208327,0.9974701333319003,0.7109515260323159,0.2328767123287671,0.4780748137035488,0.32755638577556384,0.038122555336172016,0.011737530340152045,0.02638502499601997,0.30788939085138045,-7.59375,-0.1875,7.40625,40.5
0.5,0.8247553761954779,0.49888492417484387,0.9321572951120911,0.7079113924050633,0.2059291908707069,0.0313638064406642,0.22053885840635493,0.07944879210615856,0.14109006630019638,0.3602484962526187,0.5222746331236897,0.3652694610778443,0.1570051720458454,0.6993819686267204,0.916617033948779,0.9571976967370441,0.04058066278826511,0.9576047216509201,0.74006683995544,0.5224839400428265,0.21758289991261348,0.705995609902324,0.199162242575534,0.14729229412774847,0.05186994844778553,0.7395593272248208,0.75,0.0,0.75,0.0
0.6,0.5754114468189634,0.7721042730448804,0.5171535461275173,0.32140060409441773,0.0516234936815568,4.5191772773096044e-05,0.546470999301188,0.55479735318445,0.008326353883261972,0.984992080738183,0.7795610874549623,0.7380239520958084,0.04153713535915393,0.9467172797262617,0.5382966051220965,0.47456813819577737,0.06372846692631917,0.8816108696954084,0.3804347826086957,0.18374953410361536,0.19668524850508032,0.4829987753580746,0.06647261273575271,0.021706130261689893,0.04476648247406281,0.3265424566351537,-8.25,-4.5,3.75,1.8333333333333333
0.7,0.8512328199461289,0.5966869506423259,0.9165871018140787,0.6474688187820983,0.23754853349210106,0.012957295133429834,0.21441272812353768,0.11465471797575119,0.09975801014778649,0.5347383944002189,0.6122270742358079,0.5434131736526946,0.06881390058311332,0.887600690203046,0.8941036331149493,0.9769673704414588,0.08286373732650942,0.915182697156952,0.6119598428633785,0.8344827586206897,0.2225229157573112,0.7333403075635527,0.21396415012709286,0.3548033727126845,0.14083922258559162,0.603049932956411,-1.5,0.5,2.0,-3.0
0.8,0.8581235697940504,0.5993618960802187,0.9123007920603111,0.5886302596239928,0.22323659269890941,0.00012615233375749344,0.1785102308235057,0.16824127906976744,0.010268951753738265,0.9424741556471838,0.5996068152031455,0.5988023952095808,0.0008044199935647312,0.9986584208631915,0.8980345443716498,0.9697696737044146,0.07173512933276482,0.9260286939487967,0.5166572557876906,0.8639308855291576,0.347273629741467,0.5980307735742519,0.19357181095529816,0.37310870296480914,0.17953689200951098,0.518808083052288,1.5,3.375,1.875,0.4444444444444444
0.9,0.8570114096429886,0.559748427672956,0.9020875278160433,0.4643478260869565,0.16699945616062553,0.005676026655057277,0.14719371041712165,0.22046783625730995,0.0732741258401883,0.6676425591864138,0.6028833551769331,0.5104790419161677,0.09240431326076548,0.846729367352252,0.8942227516378797,0.9654510556621881,0.07122830402430846,0.9262227705831716,0.34124629080118696,0.9045092838196287,0.5632629930184417,0.3772722921760923,0.15128744508756578,0.2782130709479917,0.1269256258604259,0.5437826647470744,0.0,0.0,0.0,nan
1.0,0.8758689175769613,0.592814371257485,0.8983918999404408,0.31705364291433147,0.1440191567085478,0.1440191567085478,0.10160810005955927,0.592814371257485,0.49120627119792576,0.17139952232269087,nan,0.592814371257485,nan,1.0,0.8983918999404408,nan,nan,nan,0.0,1.0,1.0,0.0,7.5625,-0.75,8.3125,-0.09917355371900827,7.5625,-0.75,8.3125,-0.09917355371900827
